Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Bought Today (product.metafields.custom.bought_today),Content ID (product.metafields.custom.content_id),Days Subtitle (product.metafields.custom.days_subtitle),Days to Ferment (product.metafields.custom.days_to_ferment),Discount Badge (product.metafields.custom.discount_badge),Hero Tagline (product.metafields.custom.hero_tagline),Kit Label Format (product.metafields.custom.kit_label_format),PDP Template (product.metafields.custom.pdp_template),Product Name Short (product.metafields.custom.product_name_short),Rating (product.metafields.custom.rating),Review Count (product.metafields.custom.review_count),Short Name (product.metafields.custom.short_name),Theme Accent (product.metafields.custom.theme_accent),Theme Accent Dark (product.metafields.custom.theme_accent_dark),Theme Accent Soft (product.metafields.custom.theme_accent_soft),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
probiotic-drink-making-kit,Probiotic Aam Panna Making Kit,"<ul>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>All-in-One Fermentation Kit</span><span> – Make your own probiotic-rich drinks like Fermented Aam Panna, Kanji, Tepache, Beet Kvass, and more – all in one easy-to-use kit.</span><span><br><br></span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Premium 2L Glass Jar with Airlock</span><span> – Comes with a wide-mouth fermentation jar and an airlock lid that allows gases to escape while keeping contaminants out.</span><span><br><br></span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Easy Step-by-Step Recipes</span><span> – Includes a detailed recipe book with clear instructions to make fermentation simple and beginner-friendly.</span><span><br><br></span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Boosts Gut Health Naturally</span><span> – Create live, fizzy probiotic drinks at home – better digestion, stronger immunity, and vibrant wellness with every sip.</span><span><br><br></span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Perfect for Summer &amp; Beyond</span><span> – Stay cool with naturally fermented, hydrating drinks packed with flavor and good bacteria. A refreshing alternative to sugary sodas.</span><span><br><br></span></p>
</li>
</ul>
<p><b id=""docs-internal-guid-3fdc6d33-7fff-581a-b12d-8fce9a7550e9""><span>Fun for the Whole Family</span><span> – Safe, tasty, and nourishing for kids, adults, and seniors – a delightful way to care for your loved ones.</span><span><br></span></b></p>",Gutbasket,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Colanders & Strainers,Fermentation Kits,Kanji,true,Pack,2 Liter,,,,,,,,GBProbiotitcDrinkKit201,0.0,shopify,4395,deny,manual,1299.00,1999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_drink_hero_imagewebp_51d255f03c_d0d9c845-17de-4c56-94e2-6b95b2735ddf.jpg?v=1777971721,1,"",false,,,,,,,,,,,,,,,,,,,kg,,,active
probiotic-drink-making-kit,,,,,,,,,1 Liter,,,,,,,,GBProbiotitcDrinkKit101,0.0,shopify,4435,deny,manual,999.00,1499.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_includes_image_3284254a-587e-40cb-9c85-ceeb27c0a373.webp?v=1777971721,2,"",,,,,,,,,,,,,,,,,,,,kg,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_3_steps_image_06e50eb3-1861-4cb9-a7a5-e630f35186d6.webp?v=1777971720,3,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_Lifestlye_1_6efc2d34-a8b8-42d9-b65b-bb919345b8bd.webp?v=1777971721,4,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_Hero_Image_2_8fc7f317-d362-4ce5-b73c-49157700b991.webp?v=1777971721,5,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_gut_health_24ebb15a-c42c-48d3-8f5d-c8c7917edb7b.webp?v=1777971721,6,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_gut_health_2_517ab56b-9418-4cf9-b046-0b997c97ced4.webp?v=1777971721,7,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_lifestlye_2_13a79b22-c28a-480f-8c04-88742eb5069d.webp?v=1777971721,8,"",,,,,,,,,,,,,,,,,,,,,,,
probiotic-drink-making-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/9071/6649/files/Probiotic_Drink_Hero_image_514e5ec2-e296-4453-8593-d257cbb64ed4.webp?v=1777971720,9,"",,,,,,,,,,,,,,,,,,,,,,,
kanji-making-kit,Kanji Making Kit,"<p>Everything you need to craft traditional Kanji at home is included in this all-in-one Kanji Making Kit by Gutbasket. Perfect for beginners and fermentation enthusiasts alike, this kit ensures an easy and mess-free process to make this delicious and healthy probiotic drink.</p>
<p>Kanji is a traditional Indian fermented beverage, typically made from black carrots, mustard seeds, and water. This tangy drink is rich in probiotics, antioxidants, and essential vitamins, offering numerous health benefits such as boosting immunity, enhancing digestion, and promoting gut health. <span><span class="""" data-state=""closed""></span></span></p>
<p>Introducing Gutbasket's Kanji Mix! It simplifies the preparation process by providing a carefully crafted blend of spices and ingredients, ensuring a delicious and authentic 2-liter batch of Kanji every time. This mix takes the guesswork out of fermentation, making it accessible and convenient for both beginners and seasoned enthusiasts. <span><span class="""" data-state=""closed""></span></span></p>
<p><strong>What’s Inside:</strong></p>
<ul>
<li>
<p><strong>Glass Jar:</strong> A high-quality, durable 2-liter jar for fermentation.</p>
</li>
<li>
<p><strong>Grommet Lid:</strong> Designed to create an airtight seal, ensuring optimal fermentation conditions.</p>
</li>
<li>
<p><strong>Storage Lid:</strong> Keeps your Kanji fresh and ready to enjoy after fermentation.</p>
</li>
<li>
<p><strong>Airlock:</strong> Allows gases to escape while preventing contamination, making the process hassle-free.</p>
</li>
<li>
<p><strong>Sea Salt:</strong> Provided in the precise amount needed for perfect Kanji fermentation.</p>
</li>
<li>
<p><strong>Kanji Mix:</strong> A carefully crafted blend of spices to create a delicious 2-liter batch of Kanji.</p>
</li>
<li>
<p><strong>Recipe Book:</strong> Step-by-step instructions and tips to make perfect Kanji every time.</p>
</li>
</ul>
<p>With this kit, you can effortlessly make Kanji at home while reaping its gut-friendly and immunity-boosting benefits. Experience the joy of fermentation with Gutbasket!</p>",Gutbasket,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Fermentation & Pickling Crocks,Fermentation Kits,Kanji,true,Select Pack,2 Liter,,,,,,,,Kanji201,0.0,shopify,3276,continue,manual,1249.00,1999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0807/9071/6649/files/2_501d6bbb-4be9-4793-8f9f-e51605f460d0.jpg?v=1777971722,1,"",false,Kanji Kit - Kanji Jar with Grommet Lid and Airlock & Kanji Recipes,"Make traditional Indian Kanji at home with Gutbasket's Kanji Making Kit. Perfect for gut health and immunity. Easy, authentic, and healthy!",,,,3,,,,,,,,,#C72929,,,,kg,,,active
