Brief,Section,Brief proposed key,Brief proposed type,Action,Canonical key (store) / Notes,Notes
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent,color,✓ KEEP,custom.theme_accent,
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent_dark,color,✓ KEEP,custom.theme_accent_dark,
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent_soft,color,✓ KEEP,custom.theme_accent_soft,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.short_name,single_line,✓ KEEP,custom.short_name,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.product_name_short,single_line,✓ KEEP,custom.product_name_short,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_tagline,multi_line,✓ KEEP,custom.hero_tagline,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.kit_label_format,single_line,✓ KEEP,custom.kit_label_format,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.discount_badge,single_line,✓ KEEP,custom.discount_badge,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.rating,number_decimal,✓ KEEP,custom.rating,Brief says 'single line text' — store has number_decimal. Use number_decimal.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.review_count,number_integer,✓ KEEP,custom.review_count,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.bought_today,number_integer,✓ KEEP,custom.bought_today,Brief says 'single line text' — store has number_integer. Use number_integer.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_gallery,list.file_ref (Image),🆕 CREATE,—,Truly new. Alternative: use product images natively.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_gallery_labels,list.single_line,🆕 CREATE,—,Truly new.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_video,file_ref (Video),🆕 CREATE,—,Truly new. Note: store has `how_to_make_video` for tutorials — different purpose.
