Handle,Title,Template Suffix,Metafield: custom.category_label [single_line_text_field],Metafield: custom.theme_accent [color],Metafield: custom.theme_accent_dark [color],Metafield: custom.theme_accent_soft [color],Metafield: custom.hero_tagline [multi_line_text_field],Metafield: custom.bought_today [number_integer],Metafield: custom.rating [number_decimal],Metafield: custom.review_count [number_integer],Metafield: custom.discount_badge [single_line_text_field],Metafield: custom.features_h1 [single_line_text_field],Metafield: custom.features_intro [multi_line_text_field],Metafield: custom.specs [json],Metafield: custom.compatible_with [multi_line_text_field],Metafield: custom.featured_quick_benefits [list.metaobject_reference],Metafield: custom.featured_consumption_methods [list.metaobject_reference],Metafield: custom.cart_addon_ids [list.product_reference]
a-airlock,Airlock for Safe Fermentation,jars-tools,TOOL,#15BA97,#0F8C72,#CDEDE3,TODO: 1-line tagline for Airlock for Safe Fermentation,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-fermentation-jars,Fermentation Jar with Airlock - 1 Litre,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,TODO: 1-line tagline for Fermentation Jar with Airlock - 1 Litre,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-funnel,Funnel,jars-tools,TOOL,#E66800,#B85100,#FFE2C7,TODO: 1-line tagline for Funnel,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-glass-weight,Fermentation Glass weight,jars-tools,TOOL,#0097B2,#077E94,#C2E5ED,TODO: 1-line tagline for Fermentation Glass weight,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-hydrometer,Triple Scale Hydrometer,jars-tools,TESTER,#8B1F40,#6E1733,#F4D7DD,TODO: 1-line tagline for Triple Scale Hydrometer,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-mesh-strainer,Mesh Strainer,jars-tools,TOOL,#E85C41,#B83D26,#FAD3CB,TODO: 1-line tagline for Mesh Strainer,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-ph-strip,pH strip,jars-tools,TESTER,#DDA738,#B07F1A,#F5E4B8,TODO: 1-line tagline for pH strip,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
a-silicons-bungs,Silicons Bungs,jars-tools,PART,#1F1F1D,#000000,#D5D5D3,TODO: 1-line tagline for Silicons Bungs,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
blue-airtight-glass-bottles-pack-of-4,Airtight glass bottles 1 L,jars-tools,BOTTLE,#0097B2,#077E94,#C2E5ED,TODO: 1-line tagline for Airtight glass bottles 1 L,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
fermentation-jar-narrow-mouth-hdpe-8-litre,HDPE Plastic Carboy (8 Litre),jars-tools,CARBOY,#5C4D3F,#3F342B,#DCD4C7,TODO: 1-line tagline for HDPE Plastic Carboy (8 Litre),"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
fermentation-jar-wide-mouth-2-litre,Fermentation Jar with Airlock - 2 Litre - Wide Mouth,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,TODO: 1-line tagline for Fermentation Jar with Airlock - 2 Litre - Wide Mouth,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
fermentation-jar-wide-mouth-4-litre,Fermentation Jar with Airlock - 4 Litre - Wide Mouth,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,TODO: 1-line tagline for Fermentation Jar with Airlock - 4 Litre - Wide Mouth,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
glass-carboy-4-litre,Fermentation Glass Carboy -Amber (4 Litre),jars-tools,CARBOY,#6E3A1F,#4F2916,#E8D5C4,TODO: 1-line tagline for Fermentation Glass Carboy -Amber (4 Litre),"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
grommet-washer-for-fermentation-lid-set-of-3,Grommet/ Washer for fermentation lid ( Set of 3 ),jars-tools,PART,#1F1F1D,#000000,#D5D5D3,TODO: 1-line tagline for Grommet/ Washer for fermentation lid ( Set of 3 ),"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
kombucha-jar,Kombucha Glass Jar 4 L,jars-tools,JAR,#A88554,#7E6340,#E8DAC4,TODO: 1-line tagline for Kombucha Glass Jar 4 L,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
kombucha-jar-5-6l-with-tap-and-steel-stand,Kombucha Jar 4 L - With Tap And Steel Stand,jars-tools,JAR,#A88554,#7E6340,#E8DAC4,TODO: 1-line tagline for Kombucha Jar 4 L - With Tap And Steel Stand,"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
pipette-1,Pipette (Pack of 5),jars-tools,TESTER,#5DBC52,#459338,#D7F0D2,TODO: 1-line tagline for Pipette (Pack of 5),"TODO: bought_today count, e.g. 25","TODO: rating, e.g. 4.78","TODO: review count, e.g. 80","TODO: discount badge if any, e.g. ""−₹100"" or leave blank","TODO: features section heading, e.g. ""BUILT FOR FERMENTATION.""",TODO: 1-2 sentence intro paragraph above the features,"TODO: JSON specs as [[""Capacity"",""2L""],[""Material"",""Borosilicate""]]",TODO: Compatible-with strip text,TODO: GIDs of 4 Kit Quick Benefit metaobject entries (one per feature),TODO: GIDs of 4 Kit Consumption Method metaobject entries (one per use case),TODO: GIDs of 2-4 related product references for cart-drawer add-ons
