Handle,Metafield: gutbasket.kit_color [color],Metafield: gutbasket.kit_color_dark [color],Metafield: gutbasket.kit_color_soft [color],Metafield: custom.theme_accent [color],Metafield: custom.theme_accent_dark [color],Metafield: custom.theme_accent_soft [color],Metafield: custom.hero_tagline [single_line_text_field],Metafield: custom.short_name [single_line_text_field],Metafield: custom.kit_label_format [single_line_text_field],Metafield: custom.product_name_short [single_line_text_field],Metafield: custom.pdp_template [single_line_text_field],Metafield: custom.rating [single_line_text_field],Metafield: custom.review_count [number_integer],Metafield: custom.bought_today [number_integer],Metafield: custom.days_to_ferment [number_integer],Metafield: custom.days_subtitle [single_line_text_field],Metafield: custom.discount_badge [single_line_text_field],Metafield: custom.jar_capacity [single_line_text_field],Metafield: custom.hero_trust_strip [list.single_line_text_field],Metafield: custom.hero_benefits_icons [list.single_line_text_field]
sprout-making-jar,#3F7754,#2F5C40,#D8E4DC,#3F7754,#2F5C40,#D8E4DC,"Fresh, crunchy sprouts in 2-3 days. No smell. No mess. Just water and a jar.",Sprouts 700ml,Sprouts Kit,Sprouts 700ml,sprout-maker,4.85,312,87,3,days to harvest,SAVE 50%,700ml,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
sprout-maker-1-l,#3F7754,#2F5C40,#D8E4DC,#3F7754,#2F5C40,#D8E4DC,"1-litre sprouter for families. Same self-draining mesh, more sprouts per batch.",Sprouts 1L,Sprouts Kit,Sprouts 1L,sprout-maker,4.83,198,54,3,days to harvest,SAVE 50%,1L,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
kanji-making-kit,#8B1F40,#6E1733,#F4D7DD,#8B1F40,#6E1733,#F4D7DD,"Traditional Indian probiotic drink. Black carrot, beetroot, mustard - fermented in 5 days.",Kanji Kit,Kanji Kit,Kanji Kit,fermentation-kit,4.81,256,64,5,days to ferment,SAVE 38%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
kanji-making-kit-old-layout,#8B1F40,#6E1733,#F4D7DD,#8B1F40,#6E1733,#F4D7DD,"Same Kanji kit, classic layout. (Legacy template)",Kanji Kit,Kanji Kit,Kanji Kit,fermentation-kit,4.79,124,12,5,days to ferment,SAVE 38%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
kanji-kit-with-glass-weight-1-liter,#8B1F40,#6E1733,#F4D7DD,#8B1F40,#6E1733,#F4D7DD,Kanji kit with glass weight. 1L jar for solo or couple servings.,Kanji Kit + Weight 1L,Kanji Kit,Kanji Kit + Weight 1L,fermentation-kit,4.82,89,22,5,days to ferment,SAVE 25%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
kanji-kit-with-glass-weight-2-liter,#8B1F40,#6E1733,#F4D7DD,#8B1F40,#6E1733,#F4D7DD,Family-size Kanji kit with glass weight. 2L jar for batch brewing.,Kanji Kit + Weight 2L,Kanji Kit,Kanji Kit + Weight 2L,fermentation-kit,4.84,76,19,5,days to ferment,SAVE 30%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
kimchi-making-kit,#E85C41,#B83D26,#FAD3CB,#E85C41,#B83D26,#FAD3CB,Authentic Korean fermented kimchi at home. Premium gochugaru + airlock jar + recipe book.,Kimchi Kit,Kimchi Kit,Kimchi Kit,fermentation-kit,4.78,184,41,7,days to ferment,SAVE 25%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
probiotic-achaar-making-kit,#E66800,#B85100,#FFE2C7,#E66800,#B85100,#FFE2C7,Grandmothers brine method. Salt + spice + time. Lacto-fermented oil-free achaar in 7 days.,Achaar Kit,Achaar Kit,Achaar Kit,fermentation-kit,4.86,298,78,7,days to ferment,SAVE 30%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
probiotic-drink-making-kit,#DDA738,#B07F1A,#F5E4B8,#DDA738,#B07F1A,#F5E4B8,"Fermented aam panna. Cooling, probiotic, summer in a glass. Ready in 5 days.",Aam Panna Kit,Aam Panna Kit,Aam Panna Kit,fermentation-kit,4.79,167,38,5,days to ferment,SAVE 35%,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
ultimate-fermentation-kit,#FF7300,#E66800,#FFE4CC,#FF7300,#E66800,#FFE4CC,"Everything you need to ferment any vegetable, drink, or pickle. Glass jars, airlocks, weights, 4 recipe books.",Ultimate Kit,Ultimate Kit,Ultimate Kit,fermentation-kit,4.92,412,104,7,days to first batch,BEST VALUE,,"[""Free shipping over Rs 999"", ""FSSAI Licensed"", ""Easy returns""]","[""Probiotic"", ""No smell"", ""Reusable jar""]"
